Date,Open,High,Low,Close,Volume,Adj Close
05/06/2008,-0.33661131,-0.305665916,-0.320763441,-0.291333186,0.848978288,-0.291333186
06/06/2008,-0.29804698,-0.312470645,-0.350832823,-0.36538731,1.12947377,-0.36538731
07/06/2008,-0.29804698,-0.312470645,-0.350832823,-0.36538731,1.12947377,-0.36538731
08/06/2008,-0.29804698,-0.312470645,-0.350832823,-0.36538731,1.12947377,-0.36538731
09/06/2008,-0.365047751,-0.362662132,-0.366705716,-0.363543289,0.884820821,-0.363543289
10/06/2008,-0.368207309,-0.369125855,-0.365097798,-0.369212295,1.0384412,-0.369212295
11/06/2008,-0.371435249,-0.385753993,-0.392618857,-0.408399261,1.135018766,-0.408399261
12/06/2008,-0.407830315,-0.392678012,-0.399768361,-0.400920417,1.104534618,-0.400920417
13/06/2008,-0.397531678,-0.380739861,-0.381945755,-0.366497225,0.668785916,-0.366497225
14/06/2008,-0.397531678,-0.380739861,-0.381945755,-0.366497225,0.668785916,-0.366497225
15/06/2008,-0.397531678,-0.380739861,-0.381945755,-0.366497225,0.668785916,-0.366497225
16/06/2008,-0.368429343,-0.372775543,-0.364225668,-0.366309425,0.41987425,-0.366309425
17/06/2008,-0.365252689,-0.369552217,-0.366842475,-0.382035404,0.483201835,-0.382035404
18/06/2008,-0.384244438,-0.398544868,-0.396159366,-0.404437752,0.99745355,-0.404437752
19/06/2008,-0.405934581,-0.40183627,-0.401119671,-0.395866294,1.156139069,-0.395866294
20/06/2008,-0.398880979,-0.413160484,-0.428555125,-0.438382796,1.498189337,-0.438382796
21/06/2008,-0.398880979,-0.413160484,-0.428555125,-0.438382796,1.498189337,-0.438382796
22/06/2008,-0.398880979,-0.413160484,-0.428555125,-0.438382796,1.498189337,-0.438382796
23/06/2008,-0.43517368,-0.442562426,-0.427101088,-0.438263362,0.739397973,-0.438263362
24/06/2008,-0.439511792,-0.438742235,-0.445727757,-0.444598109,1.08508048,-0.444598109
25/06/2008,-0.444105921,-0.422352885,-0.428418157,-0.431484651,1.165449597,-0.431484651
26/06/2008,-0.44111711,-0.455336231,-0.482108755,-0.497769582,1.435794804,-0.497769582
27/06/2008,-0.496948202,-0.50111066,-0.501180154,-0.505914374,2.086918611,-0.505914374
28/06/2008,-0.496948202,-0.50111066,-0.501180154,-0.505914374,2.086918611,-0.505914374
29/06/2008,-0.496948202,-0.50111066,-0.501180154,-0.505914374,2.086918611,-0.505914374
30/06/2008,-0.506409781,-0.49964379,-0.496288333,-0.503148238,1.303201424,-0.503148238
01/07/2008,-0.508749793,-0.50817104,-0.520542193,-0.494764371,1.845677967,-0.494764371
02/07/2008,-0.493156732,-0.496471678,-0.519122606,-0.534702744,1.465659139,-0.534702744
03/07/2008,-0.532199114,-0.531757548,-0.535371744,-0.53234639,0.113733162,-0.53234639
04/07/2008,-0.532199114,-0.531757548,-0.535371744,-0.53234639,0.113733162,-0.53234639
05/07/2008,-0.532199114,-0.531757548,-0.535371744,-0.53234639,0.113733162,-0.53234639
06/07/2008,-0.532199114,-0.531757548,-0.535371744,-0.53234639,0.113733162,-0.53234639
07/07/2008,-0.532301479,-0.527545136,-0.554750904,-0.550428722,1.458547949,-0.550428722
08/07/2008,-0.551190862,-0.527169779,-0.551056514,-0.513905551,1.970853583,-0.513905551
09/07/2008,-0.514402806,-0.521729493,-0.548097494,-0.563440048,1.402284901,-0.563440048
10/07/2008,-0.562445811,-0.555343848,-0.561455887,-0.548584701,1.841772477,-0.548584701
11/07/2008,-0.556621842,-0.555991927,-0.580972016,-0.572318947,2.442771387,-0.572318947
12/07/2008,-0.556621842,-0.555991927,-0.580972016,-0.572318947,2.442771387,-0.572318947
13/07/2008,-0.556621842,-0.555991927,-0.580972016,-0.572318947,2.442771387,-0.572318947
14/07/2008,-0.568662562,-0.562421507,-0.581553505,-0.591425736,1.571473922,-0.591425736
